ITE00100554,18000101,TMAX,-7.5,,,E
ITE00100554,18000101,TMIN,-14.8,,,E
GM000010962,18000101,PRCP,0,,,E
EZE00100082,18000101,TMAX,-8.6,,,E
EZE00100082,18000101,TMIN,-13.5,,,E
ITE00100554,18000102,TMAX,-6,,I,E
ITE00100554,18000102,TMIN,-12.5,,,E
GM000010962,18000102,PRCP,0,,,E
EZE00100082,18000102,TMAX,-4.4,,,E
EZE00100082,18000102,TMIN,-13,,,E
ITE00100554,18000103,TMAX,-2.3,,,E
ITE00100554,18000103,TMIN,-4.6,,I,E
GM000010962,18000103,PRCP,0.4,,,E
EZE00100082,18000103,TMAX,-1,,,E
EZE00100082,18000103,TMIN,-7.3,,,E
ITE00100554,18000104,TMAX,0,,,E
ITE00100554,18000104,TMIN,-1.3,,,E
GM000010962,18000104,PRCP,0,,,E
EZE00100082,18000104,TMAX,-5.5,,,E
EZE00100082,18000104,TMIN,-7.4,,,E
ITE00100554,18000105,TMAX,1,,,E
ITE00100554,18000105,TMIN,-0.6,,,E
GM000010962,18000105,PRCP,0,,,E
EZE00100082,18000105,TMAX,-4,,,E
EZE00100082,18000105,TMIN,-5.8,,,E
ITE00100554,18000106,TMAX,1.3,,,E
ITE00100554,18000106,TMIN,1.3,,,E
GM000010962,18000106,PRCP,0,,,E
EZE00100082,18000106,TMAX,-3.9,,,E
EZE00100082,18000106,TMIN,-5.7,,,E
ITE00100554,18000107,TMAX,3.1,,,E
ITE00100554,18000107,TMIN,1,,,E
GM000010962,18000107,PRCP,0,,,E
EZE00100082,18000107,TMAX,-3,,,E
EZE00100082,18000107,TMIN,-5,,,E
ITE00100554,18000108,TMAX,2.9,,,E
ITE00100554,18000108,TMIN,1.4,,,E
GM000010962,18000108,PRCP,0,,,E
EZE00100082,18000108,TMAX,-0.1,,,E
EZE00100082,18000108,TMIN,-3.1,,,E
ITE00100554,18000109,TMAX,3.5,,,E
ITE00100554,18000109,TMIN,2.3,,,E
GM000010962,18000109,PRCP,0,,,E
EZE00100082,18000109,TMAX,0.5,,,E
EZE00100082,18000109,TMIN,-4.6,,,E
ITE00100554,18000110,TMAX,4.6,,,E
ITE00100554,18000110,TMIN,3.1,,,E
GM000010962,18000110,PRCP,0,,,E
EZE00100082,18000110,TMAX,-4.6,,,E
EZE00100082,18000110,TMIN,-7.5,,,E
ITE00100554,18000111,TMAX,6.6,,,E
ITE00100554,18000111,TMIN,4.1,,,E
GM000010962,18000111,PRCP,3.1,,,E
EZE00100082,18000111,TMAX,0.1,,,E
EZE00100082,18000111,TMIN,-6.2,,,E
ITE00100554,18000112,TMAX,4.1,,,E
ITE00100554,18000112,TMIN,2.9,,,E
GM000010962,18000112,PRCP,0,,,E
EZE00100082,18000112,TMAX,-3.3,,,E
EZE00100082,18000112,TMIN,-6,,,E
ITE00100554,18000113,TMAX,2.3,,,E
ITE00100554,18000113,TMIN,1.3,,,E
GM000010962,18000113,PRCP,0.3,,,E
EZE00100082,18000113,TMAX,-2,,,E
EZE00100082,18000113,TMIN,-6,,,E
ITE00100554,18000114,TMAX,4.1,,,E
ITE00100554,18000114,TMIN,2.3,,,E
GM000010962,18000114,PRCP,0,,,E
EZE00100082,18000114,TMAX,0,,,E
EZE00100082,18000114,TMIN,-3.5,,,E
ITE00100554,18000115,TMAX,5.4,,,E
ITE00100554,18000115,TMIN,4.1,,,E
GM000010962,18000115,PRCP,0,,,E
EZE00100082,18000115,TMAX,1,,,E
EZE00100082,18000115,TMIN,-2.3,,,E
ITE00100554,18000116,TMAX,5.6,,,E
ITE00100554,18000116,TMIN,4.1,,,E
GM000010962,18000116,PRCP,0,,,E
EZE00100082,18000116,TMAX,-1.1,,,E
EZE00100082,18000116,TMIN,-3.7,,,E
ITE00100554,18000117,TMAX,8.4,,,E
ITE00100554,18000117,TMIN,4.8,,,E
GM000010962,18000117,PRCP,0,,,E
EZE00100082,18000117,TMAX,1.4,,,E
EZE00100082,18000117,TMIN,-3.5,,,E
ITE00100554,18000118,TMAX,5.9,,,E
ITE00100554,18000118,TMIN,4.6,,,E
GM000010962,18000118,PRCP,0.2,,,E
EZE00100082,18000118,TMAX,4.7,,,E
EZE00100082,18000118,TMIN,0.9,,,E
ITE00100554,18000119,TMAX,5.9,,,E
ITE00100554,18000119,TMIN,5,,,E
GM000010962,18000119,PRCP,0,,,E
EZE00100082,18000119,TMAX,6.6,,,E
EZE00100082,18000119,TMIN,3.4,,,E
ITE00100554,18000120,TMAX,6,,,E
ITE00100554,18000120,TMIN,2.5,,,E
GM000010962,18000120,PRCP,0.4,,,E
EZE00100082,18000120,TMAX,5.8,,,E
EZE00100082,18000120,TMIN,1.7,,,E
ITE00100554,18000121,TMAX,8,,,E
ITE00100554,18000121,TMIN,3,,,E
GM000010962,18000121,PRCP,0.6,,,E
EZE00100082,18000121,TMAX,3.1,,,E
EZE00100082,18000121,TMIN,0.8,,,E
ITE00100554,18000122,TMAX,8.1,,,E
ITE00100554,18000122,TMIN,7.4,,,E
GM000010962,18000122,PRCP,6.8,,,E
EZE00100082,18000122,TMAX,0.8,,,E
